versione,braccio,modello,seed,parola,esito,scambi_run
v3,esteso,esteso,0,GUMO,GIUSTA,80
v3,esteso,esteso,0,NUR,GIUSTA,80
v3,esteso,esteso,0,TAK,GIUSTA,80
v3,esteso,esteso,0,TIN,GIUSTA,80
v3,esteso,esteso,0,ZAKA,GIUSTA,80
v3,esteso,esteso,0,ZEFU,GIUSTA,80
v3,esteso,esteso,0,ZIBO,GIUSTA,80
v3,esteso,esteso,0,ZUMU,GIUSTA,80
v3,esteso,esteso,1,GUMO,GIUSTA,80
v3,esteso,esteso,1,NUR,GIUSTA,80
v3,esteso,esteso,1,TAK,GIUSTA,80
v3,esteso,esteso,1,TIN,GIUSTA,80
v3,esteso,esteso,1,ZAKA,GIUSTA,80
v3,esteso,esteso,1,ZEFU,GIUSTA,80
v3,esteso,esteso,1,ZIBO,GIUSTA,80
v3,esteso,esteso,1,ZUMU,GIUSTA,80
v3,esteso,esteso,2,GUMO,GIUSTA,80
v3,esteso,esteso,2,NUR,GIUSTA,80
v3,esteso,esteso,2,TAK,GIUSTA,80
v3,esteso,esteso,2,TIN,GIUSTA,80
v3,esteso,esteso,2,ZAKA,GIUSTA,80
v3,esteso,esteso,2,ZEFU,GIUSTA,80
v3,esteso,esteso,2,ZIBO,GIUSTA,80
v3,esteso,esteso,2,ZUMU,GIUSTA,80
v3,esteso,esteso,3,GUMO,GIUSTA,80
v3,esteso,esteso,3,NUR,GIUSTA,80
v3,esteso,esteso,3,TAK,GIUSTA,80
v3,esteso,esteso,3,TIN,GIUSTA,80
v3,esteso,esteso,3,ZAKA,GIUSTA,80
v3,esteso,esteso,3,ZEFU,GIUSTA,80
v3,esteso,esteso,3,ZIBO,GIUSTA,80
v3,esteso,esteso,3,ZUMU,GIUSTA,80
v3,esteso,esteso,4,GUMO,GIUSTA,80
v3,esteso,esteso,4,NUR,GIUSTA,80
v3,esteso,esteso,4,TAK,GIUSTA,80
v3,esteso,esteso,4,TIN,GIUSTA,80
v3,esteso,esteso,4,ZAKA,GIUSTA,80
v3,esteso,esteso,4,ZEFU,GIUSTA,80
v3,esteso,esteso,4,ZIBO,GIUSTA,80
v3,esteso,esteso,4,ZUMU,GIUSTA,80
v3,esteso,esteso,5,GUMO,GIUSTA,80
v3,esteso,esteso,5,NUR,GIUSTA,80
v3,esteso,esteso,5,TAK,GIUSTA,80
v3,esteso,esteso,5,TIN,GIUSTA,80
v3,esteso,esteso,5,ZAKA,GIUSTA,80
v3,esteso,esteso,5,ZEFU,GIUSTA,80
v3,esteso,esteso,5,ZIBO,GIUSTA,80
v3,esteso,esteso,5,ZUMU,GIUSTA,80
v3,esteso,esteso,6,GUMO,GIUSTA,80
v3,esteso,esteso,6,NUR,GIUSTA,80
v3,esteso,esteso,6,TAK,GIUSTA,80
v3,esteso,esteso,6,TIN,GIUSTA,80
v3,esteso,esteso,6,ZAKA,GIUSTA,80
v3,esteso,esteso,6,ZEFU,GIUSTA,80
v3,esteso,esteso,6,ZIBO,GIUSTA,80
v3,esteso,esteso,6,ZUMU,GIUSTA,80
v3,esteso,esteso,7,GUMO,GIUSTA,80
v3,esteso,esteso,7,NUR,GIUSTA,80
v3,esteso,esteso,7,TAK,GIUSTA,80
v3,esteso,esteso,7,TIN,GIUSTA,80
v3,esteso,esteso,7,ZAKA,GIUSTA,80
v3,esteso,esteso,7,ZEFU,GIUSTA,80
v3,esteso,esteso,7,ZIBO,GIUSTA,80
v3,esteso,esteso,7,ZUMU,GIUSTA,80
v3,esteso,esteso,8,GUMO,GIUSTA,80
v3,esteso,esteso,8,NUR,GIUSTA,80
v3,esteso,esteso,8,TAK,GIUSTA,80
v3,esteso,esteso,8,TIN,GIUSTA,80
v3,esteso,esteso,8,ZAKA,GIUSTA,80
v3,esteso,esteso,8,ZEFU,GIUSTA,80
v3,esteso,esteso,8,ZIBO,GIUSTA,80
v3,esteso,esteso,8,ZUMU,GIUSTA,80
v3,esteso,esteso,9,GUMO,GIUSTA,80
v3,esteso,esteso,9,NUR,GIUSTA,80
v3,esteso,esteso,9,TAK,GIUSTA,80
v3,esteso,esteso,9,TIN,GIUSTA,80
v3,esteso,esteso,9,ZAKA,GIUSTA,80
v3,esteso,esteso,9,ZEFU,GIUSTA,80
v3,esteso,esteso,9,ZIBO,GIUSTA,80
v3,esteso,esteso,9,ZUMU,GIUSTA,80
v3,esteso,esteso,10,GUMO,GIUSTA,80
v3,esteso,esteso,10,NUR,GIUSTA,80
v3,esteso,esteso,10,TAK,GIUSTA,80
v3,esteso,esteso,10,TIN,GIUSTA,80
v3,esteso,esteso,10,ZAKA,GIUSTA,80
v3,esteso,esteso,10,ZEFU,GIUSTA,80
v3,esteso,esteso,10,ZIBO,GIUSTA,80
v3,esteso,esteso,10,ZUMU,GIUSTA,80
v3,esteso,esteso,11,GUMO,GIUSTA,80
v3,esteso,esteso,11,NUR,GIUSTA,80
v3,esteso,esteso,11,TAK,GIUSTA,80
v3,esteso,esteso,11,TIN,GIUSTA,80
v3,esteso,esteso,11,ZAKA,GIUSTA,80
v3,esteso,esteso,11,ZEFU,GIUSTA,80
v3,esteso,esteso,11,ZIBO,GIUSTA,80
v3,esteso,esteso,11,ZUMU,GIUSTA,80
v3,esteso,esteso,12,GUMO,GIUSTA,80
v3,esteso,esteso,12,NUR,GIUSTA,80
v3,esteso,esteso,12,TAK,GIUSTA,80
v3,esteso,esteso,12,TIN,GIUSTA,80
v3,esteso,esteso,12,ZAKA,GIUSTA,80
v3,esteso,esteso,12,ZEFU,GIUSTA,80
v3,esteso,esteso,12,ZIBO,GIUSTA,80
v3,esteso,esteso,12,ZUMU,GIUSTA,80
v3,esteso,esteso,13,GUMO,GIUSTA,80
v3,esteso,esteso,13,NUR,GIUSTA,80
v3,esteso,esteso,13,TAK,GIUSTA,80
v3,esteso,esteso,13,TIN,GIUSTA,80
v3,esteso,esteso,13,ZAKA,GIUSTA,80
v3,esteso,esteso,13,ZEFU,GIUSTA,80
v3,esteso,esteso,13,ZIBO,GIUSTA,80
v3,esteso,esteso,13,ZUMU,GIUSTA,80
v3,esteso,esteso,14,GUMO,GIUSTA,80
v3,esteso,esteso,14,NUR,GIUSTA,80
v3,esteso,esteso,14,TAK,GIUSTA,80
v3,esteso,esteso,14,TIN,GIUSTA,80
v3,esteso,esteso,14,ZAKA,GIUSTA,80
v3,esteso,esteso,14,ZEFU,GIUSTA,80
v3,esteso,esteso,14,ZIBO,GIUSTA,80
v3,esteso,esteso,14,ZUMU,GIUSTA,80
v3,esteso,esteso,15,GUMO,GIUSTA,80
v3,esteso,esteso,15,NUR,GIUSTA,80
v3,esteso,esteso,15,TAK,GIUSTA,80
v3,esteso,esteso,15,TIN,GIUSTA,80
v3,esteso,esteso,15,ZAKA,GIUSTA,80
v3,esteso,esteso,15,ZEFU,GIUSTA,80
v3,esteso,esteso,15,ZIBO,GIUSTA,80
v3,esteso,esteso,15,ZUMU,GIUSTA,80
v3,esteso,esteso,16,GUMO,GIUSTA,80
v3,esteso,esteso,16,NUR,GIUSTA,80
v3,esteso,esteso,16,TAK,GIUSTA,80
v3,esteso,esteso,16,TIN,GIUSTA,80
v3,esteso,esteso,16,ZAKA,GIUSTA,80
v3,esteso,esteso,16,ZEFU,GIUSTA,80
v3,esteso,esteso,16,ZIBO,GIUSTA,80
v3,esteso,esteso,16,ZUMU,GIUSTA,80
v3,esteso,esteso,17,GUMO,GIUSTA,80
v3,esteso,esteso,17,NUR,GIUSTA,80
v3,esteso,esteso,17,TAK,GIUSTA,80
v3,esteso,esteso,17,TIN,GIUSTA,80
v3,esteso,esteso,17,ZAKA,GIUSTA,80
v3,esteso,esteso,17,ZEFU,GIUSTA,80
v3,esteso,esteso,17,ZIBO,GIUSTA,80
v3,esteso,esteso,17,ZUMU,GIUSTA,80
v3,esteso,esteso,18,GUMO,GIUSTA,80
v3,esteso,esteso,18,NUR,GIUSTA,80
v3,esteso,esteso,18,TAK,GIUSTA,80
v3,esteso,esteso,18,TIN,GIUSTA,80
v3,esteso,esteso,18,ZAKA,GIUSTA,80
v3,esteso,esteso,18,ZEFU,GIUSTA,80
v3,esteso,esteso,18,ZIBO,GIUSTA,80
v3,esteso,esteso,18,ZUMU,GIUSTA,80
v3,esteso,esteso,19,GUMO,GIUSTA,80
v3,esteso,esteso,19,NUR,GIUSTA,80
v3,esteso,esteso,19,TAK,GIUSTA,80
v3,esteso,esteso,19,TIN,GIUSTA,80
v3,esteso,esteso,19,ZAKA,GIUSTA,80
v3,esteso,esteso,19,ZEFU,GIUSTA,80
v3,esteso,esteso,19,ZIBO,GIUSTA,80
v3,esteso,esteso,19,ZUMU,GIUSTA,80
v3,esteso,esteso,20,GUMO,GIUSTA,80
v3,esteso,esteso,20,NUR,GIUSTA,80
v3,esteso,esteso,20,TAK,GIUSTA,80
v3,esteso,esteso,20,TIN,GIUSTA,80
v3,esteso,esteso,20,ZAKA,GIUSTA,80
v3,esteso,esteso,20,ZEFU,GIUSTA,80
v3,esteso,esteso,20,ZIBO,GIUSTA,80
v3,esteso,esteso,20,ZUMU,GIUSTA,80
v3,esteso,esteso,21,GUMO,GIUSTA,77
v3,esteso,esteso,21,NUR,GIUSTA,77
v3,esteso,esteso,21,TAK,irrisolta,77
v3,esteso,esteso,21,TIN,GIUSTA,77
v3,esteso,esteso,21,ZAKA,GIUSTA,77
v3,esteso,esteso,21,ZEFU,GIUSTA,77
v3,esteso,esteso,21,ZIBO,GIUSTA,77
v3,esteso,esteso,21,ZUMU,GIUSTA,77
v3,esteso,esteso,22,GUMO,GIUSTA,77
v3,esteso,esteso,22,NUR,GIUSTA,77
v3,esteso,esteso,22,TAK,GIUSTA,77
v3,esteso,esteso,22,TIN,GIUSTA,77
v3,esteso,esteso,22,ZAKA,irrisolta,77
v3,esteso,esteso,22,ZEFU,GIUSTA,77
v3,esteso,esteso,22,ZIBO,GIUSTA,77
v3,esteso,esteso,22,ZUMU,GIUSTA,77
v3,esteso,esteso,23,GUMO,GIUSTA,80
v3,esteso,esteso,23,NUR,GIUSTA,80
v3,esteso,esteso,23,TAK,GIUSTA,80
v3,esteso,esteso,23,TIN,GIUSTA,80
v3,esteso,esteso,23,ZAKA,GIUSTA,80
v3,esteso,esteso,23,ZEFU,GIUSTA,80
v3,esteso,esteso,23,ZIBO,GIUSTA,80
v3,esteso,esteso,23,ZUMU,GIUSTA,80
v3,esteso,esteso,24,GUMO,GIUSTA,77
v3,esteso,esteso,24,NUR,GIUSTA,77
v3,esteso,esteso,24,TAK,GIUSTA,77
v3,esteso,esteso,24,TIN,GIUSTA,77
v3,esteso,esteso,24,ZAKA,GIUSTA,77
v3,esteso,esteso,24,ZEFU,irrisolta,77
v3,esteso,esteso,24,ZIBO,GIUSTA,77
v3,esteso,esteso,24,ZUMU,GIUSTA,77
v3,esteso,esteso,25,GUMO,GIUSTA,80
v3,esteso,esteso,25,NUR,GIUSTA,80
v3,esteso,esteso,25,TAK,GIUSTA,80
v3,esteso,esteso,25,TIN,GIUSTA,80
v3,esteso,esteso,25,ZAKA,GIUSTA,80
v3,esteso,esteso,25,ZEFU,GIUSTA,80
v3,esteso,esteso,25,ZIBO,GIUSTA,80
v3,esteso,esteso,25,ZUMU,GIUSTA,80
v3,esteso,esteso,26,GUMO,GIUSTA,80
v3,esteso,esteso,26,NUR,GIUSTA,80
v3,esteso,esteso,26,TAK,GIUSTA,80
v3,esteso,esteso,26,TIN,GIUSTA,80
v3,esteso,esteso,26,ZAKA,GIUSTA,80
v3,esteso,esteso,26,ZEFU,GIUSTA,80
v3,esteso,esteso,26,ZIBO,GIUSTA,80
v3,esteso,esteso,26,ZUMU,GIUSTA,80
v3,esteso,esteso,27,GUMO,GIUSTA,80
v3,esteso,esteso,27,NUR,GIUSTA,80
v3,esteso,esteso,27,TAK,GIUSTA,80
v3,esteso,esteso,27,TIN,GIUSTA,80
v3,esteso,esteso,27,ZAKA,GIUSTA,80
v3,esteso,esteso,27,ZEFU,GIUSTA,80
v3,esteso,esteso,27,ZIBO,GIUSTA,80
v3,esteso,esteso,27,ZUMU,GIUSTA,80
v3,esteso,esteso,28,GUMO,GIUSTA,80
v3,esteso,esteso,28,NUR,GIUSTA,80
v3,esteso,esteso,28,TAK,GIUSTA,80
v3,esteso,esteso,28,TIN,GIUSTA,80
v3,esteso,esteso,28,ZAKA,GIUSTA,80
v3,esteso,esteso,28,ZEFU,GIUSTA,80
v3,esteso,esteso,28,ZIBO,GIUSTA,80
v3,esteso,esteso,28,ZUMU,GIUSTA,80
v3,esteso,esteso,29,GUMO,GIUSTA,80
v3,esteso,esteso,29,NUR,GIUSTA,80
v3,esteso,esteso,29,TAK,GIUSTA,80
v3,esteso,esteso,29,TIN,GIUSTA,80
v3,esteso,esteso,29,ZAKA,GIUSTA,80
v3,esteso,esteso,29,ZEFU,GIUSTA,80
v3,esteso,esteso,29,ZIBO,GIUSTA,80
v3,esteso,esteso,29,ZUMU,GIUSTA,80
