versione,braccio,modello,seed,parola,esito,scambi_run
v3,base,base,0,GUMO,irrisolta,72
v3,base,base,0,NUR,irrisolta,72
v3,base,base,0,TAK,GIUSTA,72
v3,base,base,0,TIN,GIUSTA,72
v3,base,base,0,ZAKA,GIUSTA,72
v3,base,base,0,ZEFU,GIUSTA,72
v3,base,base,0,ZIBO,GIUSTA,72
v3,base,base,0,ZUMU,GIUSTA,72
v3,base,base,1,GUMO,irrisolta,72
v3,base,base,1,NUR,irrisolta,72
v3,base,base,1,TAK,GIUSTA,72
v3,base,base,1,TIN,GIUSTA,72
v3,base,base,1,ZAKA,GIUSTA,72
v3,base,base,1,ZEFU,GIUSTA,72
v3,base,base,1,ZIBO,GIUSTA,72
v3,base,base,1,ZUMU,GIUSTA,72
v3,base,base,2,GUMO,irrisolta,72
v3,base,base,2,NUR,irrisolta,72
v3,base,base,2,TAK,GIUSTA,72
v3,base,base,2,TIN,GIUSTA,72
v3,base,base,2,ZAKA,GIUSTA,72
v3,base,base,2,ZEFU,GIUSTA,72
v3,base,base,2,ZIBO,GIUSTA,72
v3,base,base,2,ZUMU,GIUSTA,72
v3,base,base,3,GUMO,irrisolta,72
v3,base,base,3,NUR,irrisolta,72
v3,base,base,3,TAK,GIUSTA,72
v3,base,base,3,TIN,GIUSTA,72
v3,base,base,3,ZAKA,GIUSTA,72
v3,base,base,3,ZEFU,GIUSTA,72
v3,base,base,3,ZIBO,GIUSTA,72
v3,base,base,3,ZUMU,GIUSTA,72
v3,base,base,4,GUMO,irrisolta,72
v3,base,base,4,NUR,irrisolta,72
v3,base,base,4,TAK,GIUSTA,72
v3,base,base,4,TIN,GIUSTA,72
v3,base,base,4,ZAKA,GIUSTA,72
v3,base,base,4,ZEFU,GIUSTA,72
v3,base,base,4,ZIBO,GIUSTA,72
v3,base,base,4,ZUMU,GIUSTA,72
v3,base,base,5,GUMO,irrisolta,72
v3,base,base,5,NUR,irrisolta,72
v3,base,base,5,TAK,GIUSTA,72
v3,base,base,5,TIN,GIUSTA,72
v3,base,base,5,ZAKA,GIUSTA,72
v3,base,base,5,ZEFU,GIUSTA,72
v3,base,base,5,ZIBO,GIUSTA,72
v3,base,base,5,ZUMU,GIUSTA,72
v3,base,base,6,GUMO,irrisolta,72
v3,base,base,6,NUR,irrisolta,72
v3,base,base,6,TAK,GIUSTA,72
v3,base,base,6,TIN,GIUSTA,72
v3,base,base,6,ZAKA,GIUSTA,72
v3,base,base,6,ZEFU,GIUSTA,72
v3,base,base,6,ZIBO,GIUSTA,72
v3,base,base,6,ZUMU,GIUSTA,72
v3,base,base,7,GUMO,irrisolta,72
v3,base,base,7,NUR,irrisolta,72
v3,base,base,7,TAK,GIUSTA,72
v3,base,base,7,TIN,GIUSTA,72
v3,base,base,7,ZAKA,GIUSTA,72
v3,base,base,7,ZEFU,GIUSTA,72
v3,base,base,7,ZIBO,GIUSTA,72
v3,base,base,7,ZUMU,GIUSTA,72
v3,base,base,8,GUMO,irrisolta,72
v3,base,base,8,NUR,irrisolta,72
v3,base,base,8,TAK,GIUSTA,72
v3,base,base,8,TIN,GIUSTA,72
v3,base,base,8,ZAKA,GIUSTA,72
v3,base,base,8,ZEFU,GIUSTA,72
v3,base,base,8,ZIBO,GIUSTA,72
v3,base,base,8,ZUMU,GIUSTA,72
v3,base,base,9,GUMO,irrisolta,72
v3,base,base,9,NUR,irrisolta,72
v3,base,base,9,TAK,GIUSTA,72
v3,base,base,9,TIN,GIUSTA,72
v3,base,base,9,ZAKA,GIUSTA,72
v3,base,base,9,ZEFU,GIUSTA,72
